pl_name,sy_snum,sy_pnum,sy_mnum,pl_orbper,pl_orbsmax,pl_rade,pl_masse,pl_bmasse,pl_dens,pl_orbeccen,pl_insol,pl_eqt,pl_orbincl,pl_trandep,pl_trandur,st_teff,st_rad,st_mass,st_met,st_lum,st_age,sy_dist,discoverymethod,disc_year_y,disc_facility,habitability_percent,cluster,cluster_label
Kepler-372 d,1,3,0,30.0904877,0.2002,2.43,,,,0,53.7905,692,84.22,0.02672,7.927,6133.5,1.1945,1.15,-0.135,0.32073,4.355,1493.95,Transit,2014,Kepler,26.42,,
Kepler-694 b,1,1,0,6.365841612,0.066,2.54,,,,0,166.88,917,87.66,0.0839,2.9697,5778,0.9015,0.97,-0.18,-0.07753,2.235,1023.06,Transit,2016,Kepler,26.41,,
OGLE-TR-10 b,1,1,0,3.101278,0.04345,13.95508,200.2329,200.2329,0.39,0,,1702,88.85,1.21,3.072,5955,1.155,1.14,0.15,0.188,3.15,1344.97,Transit,2004,OGLE,26.41,,
TOI-1669 c,1,2,0,2.68005535,0.0376,2.32975385,13,13,6,0,415.617,1271.08,,0.0468,1.85871275,5523.5,1.06305,0.9867,0.274,-0.03574,7.7,111.276,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),26.41,2,Temperate Small Planets
TOI-3688 A b,2,1,0,3.246141504,0.0456,13.19026169,311.4718389,311.4718389,0.76,0,1016.0736,1502.715,87.9,0.89529955,3.45107565,6019,1.32374,1.199,0.262,0.2833,3.3,396.378,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),26.41,0,Warm Gas Giants
Kepler-1288 b,1,1,0,2.76122421,0.0435,1.84,,,,0,3906.36,2016,84.8,0.00678,3.662,6381,1.59406,1.436,-0.025,,1.93,814.078,Transit,2016,Kepler,26.39,,
Kepler-1510 b,1,1,0,84.703921,0.3888,3.165,,,,0,11.85,473,89.95,0.06829,10.447,6085,1.382,1.13,-0.08,0.37703,2.75,1696.25,Transit,2016,Kepler,26.39,,
Kepler-167 b,2,4,0,4.393156523,0.0482,1.615,,,,0,122.502,899,89.58,0.0466,2.4197,4876,0.746,0.7765,0.07,-0.55179,4.57,341.908,Transit,2014,Kepler,26.39,,
HAT-P-5 b,1,1,0,2.78847355,0.04074,13.99967524,330.5383,330.5383,0.66,0,850.6754,1458.2,86.75,1.2399,2.9335232,5960,1.12478,1.04,0.24,0.1875,2.6,303.336,Transit,2007,HATNet,26.38,0,Warm Gas Giants
HAT-P-7 b,2,1,0,2.204735409,0.03807,16.39,565.248615,565.248615,0.651,0,4148.92,2197,83.151,0.66906,3.8854,6363,1.991,1.47,0.2463,0.7921,2.035,341.079,Transit,2008,HATNet,26.38,0,Warm Gas Giants
Kepler-127 d,1,3,0,48.63038976,0.2799,2.54,,,,0,29.33,593,89.95,0.03512,6.9945,6106,1.37,1.24,0.24,0.40651,2.63,352.794,Transit,2014,Kepler,26.38,,
Kepler-817 b,1,1,0,3.990106229,0.0493,8.02,,,,0,378.53,1125,87.09,0.716145,2.4269,5892.5,0.9715,1.004,-0.12,0.08609,3.55,1484.46,Transit,2016,Kepler,26.38,,
Kepler-1071 b,1,1,0,6.17998474,0.05715,1.93,,,,0,74.59,661,88.24,0.08056,2.1059,5167,0.81,0.8355,0.01,-0.31262,4.27,1042.27,Transit,2016,Kepler,26.37,,
Kepler-336 d,1,3,0,20.67878278,0.1472,2.16,,,,0,42.43,651,88.81,0.03344,4.5776,5956.94,0.96,0.9975,0.14,,2.6,768.86,Transit,2014,Kepler,26.37,,
Kepler-105 b,1,2,0,5.412203927,0.0621,3.11,10.6263,10.6263,1.975,0,514.3645,1306,88.24,0.05981,2.81535,6073.5,1.1235,1.085,-0.148,0.351785,3.87,459.223,Transit,2013,Kepler,26.36,0,Warm Gas Giants
Kepler-265 c,1,4,0,17.02902105,0.1315,2.41,,,,0,77.695,760,89.95,0.05852,4.686,5963,0.983,1.045,-0.3,0.00548,2.82,1280.25,Transit,2014,Kepler,26.36,,
Kepler-276 d,1,3,0,48.6476601,0.2672,2.665,16.3,16.3,0.76,0,15.785,525,89.95,0.063145,4.563,5779,0.962,1.037,0,-0.08948,3.8,1144.86,Transit,2013,Kepler,26.36,2,Temperate Small Planets
Kepler-813 b,1,1,0,19.12947603,0.1424,2.27,,,,0,56.04,698,88.81,0.050975,3.757,5743,0.97,1.05,-0.115,,2.24,,Transit,2016,Kepler,26.36,,
TOI-544 b,1,2,0,1.548352,0.0238,2.03,2.89,2.89,1.93,0,240.195,1004.06,,0.09264111,1.20654625,4369,0.66,0.7405,-0.17,,9,41.1166,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),26.36,,
Kepler-115 c,1,2,0,8.99088871,0.0856,2.5,,,,0,192.17,939,89.38,0.04629,4.1029,5989.5,1.160065,1.041,-0.0499,0.22007,4.57,623.609,Transit,2014,Kepler,26.34,,
Kepler-173 c,1,2,0,8.005783665,0.0725,2.43,,,,0,197.06,956,89.38,0.06559,3.1057,5986,1.07,1,-0.01,0.07365,3.3,833.165,Transit,2014,Kepler,26.34,,
Kepler-14 b,2,1,0,6.790121599,0.07835,12.21,2555.2972,2555.2972,6.9,0,1029.51,1445,89.95,0.22523,6.1391,6378,2.0245,1.391,0.065,0.799,2.22,,Transit,2011,Kepler,26.33,0,Warm Gas Giants
