pl_name,sy_snum,sy_pnum,sy_mnum,pl_orbper,pl_orbsmax,pl_rade,pl_masse,pl_bmasse,pl_dens,pl_orbeccen,pl_insol,pl_eqt,pl_orbincl,pl_trandep,pl_trandur,st_teff,st_rad,st_mass,st_met,st_lum,st_age,sy_dist,discoverymethod,disc_year_y,disc_facility,habitability_percent,cluster,cluster_label
Kepler-1550 b,1,1,0,225.5831941,0.7333,2.8275,,,,0,2.24,312,89.95,0.07571,11.181,5938,1.09483,1.07,-0.26,0.11945,3.55,1179.01,Transit,2016,Kepler,49.06,,
LP 890-9 c,1,2,0,8.457463,0.03984,1.367,25.3,25.3,,,0.906,272,89.287,0.6659,0.9593,2850,0.1556,0.118,-0.028,-2.84134,7.2,32.4298,Transit,2022,SPECULOOS Southern Observatory,48.99,,
TOI-2088 b,1,1,0,124.72992,0.472,3.5981057,37,37,2,0,1.7338,296.495,,0.1781916,7.3293781,4991.5,0.8397615,0.9027,0.339,-0.36151,4.5,126.46,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),48.98,2,Temperate Small Planets
Kepler-1085 b,1,2,0,219.3217528,0.7391,6.43,,,,0,2.27,313,89.95,0.38157,12.358,5928,1.0215,1.11,0.07,0.07867,2.23,1364.53,Transit,2016,Kepler,48.68,,
Kepler-1633 b,1,1,0,186.404271,0.6407,1.58,,,,0,14.634,336,89.95,0.013825,10.46,6168.72,1.84201,1.18,-0.123,0.64606,2.82,1114.91,Transit,2016,Kepler,48.6,,
Kepler-841 b,1,1,0,124.4198398,0.4494,5.049,,,,0,2.02,304,89.95,0.4303,3.6612,5324,0.81,0.865,-0.46,-0.36224,2.485,998.961,Transit,2016,Kepler,48.39,,
Kepler-30 d,1,3,0,143.2063518,0.5318,9.325,2713.105,2713.105,0.19,0,2.14,308,89.95,1.13254,8.9776,5474.5,0.867,0.986,0.1991,-0.23658,1.79,914.221,Transit,2012,Kepler,48.36,2,Temperate Small Planets
Kepler-298 d,1,3,0,77.4740724,0.3105,2.89,,,,0,1.68,291,89.38,0.168535,4.176,4549,0.652,0.668,-0.2,-0.73284,8.2,518.204,Transit,2014,Kepler,47.95,,
Kepler-1539 b,1,1,0,133.3036741,0.4777,2.705,,,,0,1.94,301,89.95,0.1199,7.416,5064,0.801,0.828,-0.1,-0.42607,4.79,748.326,Transit,2016,Kepler,47.78,,
Kepler-1816 b,1,1,0,91.5009237,0.3671,1.85,,,,0,2.34,315,89.95,0.06923,4.848,5051,0.716,0.799,-0.24,-0.53145,2.635,437.823,Transit,2021,Kepler,47.6,,
TRAPPIST-1 c,1,7,0,2.42183565,0.01579,1.0755,1.308,1.308,5.463993,0.00654,2.237,340.8,89.58,0.69965,0.7005,2554.5,0.117,0.0894,0.04,-3.26895,0.5,,Transit,2016,La Silla Observatory,47.56,1,Low-Luminosity Small Planets
Kepler-138 d,1,4,0,23.0890204,0.127755,1.52,1.09,1.09,1.73,0,3.045,335,88.81,0.05975,1.9465,3841,0.5325,0.526,-0.18,-1.22185,4.68,66.8624,Transit,2014,Kepler,47.52,1,Low-Luminosity Small Planets
Kepler-511 b,1,2,0,296.637865,0.8817,7.18,,,,0,2.705,322,89.95,0.281,16.2231,5908.5,1.387,1.12,-0.095,0.49754,8.53,651.999,Transit,2016,Kepler,47.47,,
Kepler-1450 b,1,1,0,54.50928575,0.2392,1.63,,,,0,2.19,310,89.95,0.06827,4.222,4408,0.655719,0.6655,-0.18,-0.7677,4.37,505.829,Transit,2016,Kepler,47.35,,
Kepler-1058 b,1,1,0,110.96546,0.3679,2.12,,,,0,0.77,239,89.38,0.13218,12.841,4517.79,0.546,0.538,-0.5527,,8.645,491.997,Transit,2016,Kepler,47.33,,
K2-18 b,1,2,0,32.9398375,0.14605,2.28,8.63,8.63,3.3,0.2,1.0275,260.44,89.5785,0.311,2.6725,3457,0.411,0.413,0.12,-1.59405,,38.0266,Transit,2015,K2,47.1,1,Low-Luminosity Small Planets
Kepler-138 e,1,4,0,38.23,0.1803,,0.43,0.43,,0.112,1.73,292,88.53,,,3841,0.535,0.535,-0.18,-1.25181,,66.8624,Transit Timing Variations,2022,Multiple Observatories,47.09,,
Kepler-1389 b,1,1,0,99.2530951,0.3825,1.77,,,,0,2.17,318,89.95,0.0535,6.006,5010,0.748623,0.791,-0.14,-0.53422,2.8,497.093,Transit,2016,Kepler,47.03,,
Kepler-737 b,1,1,0,28.59914031,0.1443,1.88,,,,0,1.8,295,89.95,0.16766,3.6632,3774,0.4955,0.51,-0.18,-1.30149,8.945,205.118,Transit,2016,Kepler,47.03,,
Kepler-610 c,1,2,0,151.86392,0.5594,2.63,,,,0,2.43,318,89.95,0.08396,8.622,5713,0.893,1.01,0.07,-0.11034,1.975,845.824,Transit,2016,Kepler,46.97,,
Kepler-281 d,1,3,0,148.272013,0.5456,4.52,605.5,605.5,13.4,0,2.51,321,89.95,0.19141,4.141,5717,0.884,0.984,0,0.14638,0.6,1745.45,Transit,2021,Kepler,46.95,2,Temperate Small Planets
Kepler-1020 b,1,1,0,96.9151496,0.3796,2.2135,,,,0,2.3095,313,89.95,0.08326,5.9964,5229,0.734936,0.8315,-0.147,-0.43597,3.63,415.358,Transit,2016,Kepler,46.88,,
TOI-4633 c,2,1,0,271.9415695,0.847,3.36479616,123,123,,0.117,1.39475,268.57,89.888,0.04831689,11.2896233,5645.02,1.31595,1.1,,,1.3,95.2016,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),46.87,,
Kepler-1388 e,1,4,0,37.6327084,0.1793,2.09,,,,0,1.825,294,89.95,0.1624,4.547,3938,0.5435,0.588706,-0.2,-1.1068,4.47,453.795,Transit,2016,Kepler,46.73,,
Kepler-52 d,1,3,0,36.44525389,0.1782,1.96,88.8775,88.8775,18,0,1.91,300,89.95,0.11556,3.96015,4116,0.621,0.6365,-0.09,-0.92799,8.675,321.542,Transit,2014,Kepler,46.69,1,Low-Luminosity Small Planets
Kepler-1341 b,2,1,0,132.9968322,0.4516,2.7,,,,0,0.8,241,89.38,0.13517,7.469,4530,0.72,0.7005,-0.1,-0.63776,1.82,476.957,Transit,2016,Kepler,46.66,,
Kepler-1625 b,1,1,0,287.378949,0.8429,8.57,,,,0,3.3,253,89.95,0.42984,18.886,5586,1.756,0.94,0.01,0.43696,6.44,2310.11,Transit,2016,Kepler,46.66,,
Kepler-1704 b,1,1,0,988.8811177,2.0091,10.81,1322.166173,1322.166173,4.07,0,0.58,238.4,89.95,0.506,5.9504,5755,1.594,1.1185,0.21,0.45572,5.4,835.455,Transit,2013,Kepler,46.39,2,Temperate Small Planets
TOI-712 d,1,3,0,84.839145,0.3405,2.256285,,,,0.073,1.4075,302.8,89.817,0.1075,5.448,4563,0.697,0.732,-0.02,-0.72793,0.83,58.6212,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),46.16,,
Kepler-351 d,1,3,0,142.544247,0.5184,2.835,,,,0,2.39,317,89.38,0.1139,8.949,5642,0.78,0.91,-0.14,-0.38644,4.9,1083.91,Transit,2016,Kepler,46,,
Kepler-111 c,1,2,0,224.7782697,0.74895,7.43,222.4798849,222.4798849,3.42,0,2.56,323.5,89.38,0.35425,11.194,5914,1.157,1.098,0.22,0.19471,2.85,657.223,Transit,2014,Kepler,45.99,2,Temperate Small Planets
TOI-2095 c,1,2,0,28.17225007,0.1375,1.39,7.4,7.4,,0.065,1.84,298.83,89.85,0.08732827,3.2591724,3746,0.453,0.4525,-0.345,-1.46824,1,41.9176,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),45.9,1,Low-Luminosity Small Planets
Kepler-1503 b,1,1,0,96.1697195,0.3753,2.14,,,,0,2.59,324,89.95,0.09241,7.471,5334,0.74,0.77,-0.315,-0.14398,5.13,1225.57,Transit,2016,Kepler,45.57,,
Kepler-577 b,1,1,0,25.69581456,0.1353,1.7,,,,0,2.32,315,89.38,0.11643,3.9289,4386.5,0.6975435,0.78,-0.21,-0.555,2.3,524.247,Transit,2016,Kepler,45.28,,
Kepler-967 c,1,2,0,198.7110088,0.568,2.86,,,,0,0.73,236,89.95,0.21708,8.5374,5080,0.628,0.619,-0.86,,5.89,568.546,Transit,2016,Kepler,45.11,,
Kepler-436 b,1,2,0,64.00139754,0.264785,2.385,,,,0,1.69,271,89.38,0.1158,4.481,4499,0.697,0.71,-0.09,-0.73108,3.72,588.867,Transit,2015,Kepler,44.27,,
Kepler-1972 b,1,2,0,7.5459119,0.0794,0.891,2.02,2.02,22.2,0,886.58,1392,83.08,0.00173,6.926,5916,1.45621,1.173,-0.08,0.33186,5.885,287.339,Transit,2022,Kepler,43.81,0,Warm Gas Giants
Kepler-1540 b,2,1,0,125.4131177,0.4198,2.395,,,,0,0.75,238,89.95,0.14039,2.2134,4366,0.6645,0.676,-0.18,-0.81759,2.51,244.96,Transit,2016,Kepler,43.64,,
Kepler-1582 b,1,1,0,4.83817712,0.0285,0.78,,,,0,2.5,321,89.38,0.2311,1.26,3148,0.2074565,0.18,0,-2.38864,7.76,78.8906,Transit,2016,Kepler,43.63,,
Kepler-1972 c,1,2,0,11.3220104,0.1041,0.889,2.11,2.11,18.4,0,515.77,1215,89.38,0.00171,5.86,5916,1.45621,1.173,-0.025,0.33186,5.885,287.339,Transit,2022,Kepler,43.57,0,Warm Gas Giants
Kepler-1652 b,1,1,0,38.0972289,0.1615,1.255,,,,0,0.65,235.5,89.38,0.10168,3.377,3518,0.366,0.3815,-0.1,-1.638,8.55,,Transit,2017,Kepler,43.55,,
TOI-1776 b,1,1,0,2.800429735,0.0378,1.30975948,1.4,1.4,4.13,0,560.3349,1255.05,,0.02048553,1.7151128,5754.435,0.940504,0.9196,-0.193,-0.05306,5.1,44.647,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),43.31,2,Temperate Small Planets
Kepler-553 c,1,2,0,328.2399591,0.9084,11.333,2129.450327,2129.450327,7.53,0,0.6,242,89.95,1.41124,12.1271,5234,0.899,0.9045,0.13,-0.26057,7.085,728.525,Transit,2016,Kepler,43.28,2,Temperate Small Planets
Kepler-1567 b,1,1,0,153.979578,0.552,2.67,,,,0,2.82,330,89.95,0.08788,8.994,5858,0.903,0.947,-0.2,-0.12183,4.17,1206.11,Transit,2016,Kepler,43.26,,
Kepler-267 d,1,3,0,28.46462622,0.1439,2.18,,,,0,2.015,303,89.95,0.178675,2.7539,3882,0.5385,0.541571,-0.26,-1.21303,8.455,264.993,Transit,2014,Kepler,43.15,,
Kepler-849 b,1,1,0,394.6244904,1.1088,8.08167508,298.7587026,298.7587026,3.09,0,3.05,337,89.9365,0.18826,23.9917,5940,1.825,1.164,0.109,0.58897,4.22,822.134,Transit,2016,Kepler,43.12,2,Temperate Small Planets
TOI-1452 b,2,1,0,11.06200187,0.061,1.64524719,4.82,4.82,5.6,0,1.91125,315.075,89.77,0.31695582,1.7587777,3216.5,0.275182,0.249,-0.07,-2.1549,,30.5212,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),43.03,1,Low-Luminosity Small Planets
Kepler-186 e,1,5,0,22.40777444,0.1218,1.3,,,,0,2.56,322,89.38,0.07089,3.3199,3820,0.513,0.51,-0.21,-1.21452,4,177.594,Transit,2014,Kepler,43.01,,
Kepler-1628 b,1,1,0,76.377944,0.2956,6.835,,,,0,0.79,241,89.95,1.38795,4.952,3873,0.585,0.588,0.21,,5.13,,Transit,2016,Kepler,42.98,,
Kepler-976 b,1,1,0,105.9566199,0.4209,3.81,,,,0,2.54,322,89.95,0.24051,6.986,5290.5,0.8055,0.87,0.02,-0.35971,2.69,1012.41,Transit,2016,Kepler,42.83,,
Kepler-1780 b,1,1,0,109.4449832,0.423,3.21,,,,0,2.74,328,89.38,0.13162,4.04835,5455.5,0.834,0.868,0,-0.2166,0.6,790.516,Transit,2021,Kepler,42.33,,
Kepler-1874 b,1,1,0,56.5735997,0.2523,2.19,,,,0,2.38,317,88.81,0.07833,3.988,4551,0.639,0.667,-0.2,,13.8,408.007,Transit,2021,Kepler,42.23,,
Kepler-1858 b,1,1,0,88.0712696,0.3643,2.27,,,,0,2.63,325,89.95,0.0955,6.772,5064.45,0.762014,0.839,0.16,-0.45269,0.7,833.055,Transit,2021,Kepler,42.02,,
Kepler-1876 b,1,1,0,6.99205021,0.077,1.155,2.4,2.4,19,0,726.46,1409.5,89.54,0.00334,4.842,6095,1.57556,1.187,-0.06,0.42894,4.5,259.935,Transit,2021,Kepler,41.98,0,Warm Gas Giants
Kepler-1700 b,1,1,0,234.2432868,0.8017,3.14,,,,0,2.99,335,88.81,0.04665,12.929,6031,1.13035,1.12,0.21,0.15405,2.75,717.597,Transit,2020,Kepler,41.82,,
TRAPPIST-1 f,1,7,0,9.207115,0.038511805,1.045,0.934,0.934,4.5,0.036535,0.373,218.35,89.68,0.65975,1.048,2559,0.1192,0.0894,0.04675,-3.25806,,,Transit,2017,Multiple Observatories,41.81,1,Low-Luminosity Small Planets
Kepler-1527 b,1,1,0,160.1304085,0.5756,4.015,,,,0,3.09,338,89.38,0.11464,13.176,6075,1.58,1.08,-0.28,0.48222,2.82,1842.13,Transit,2016,Kepler,41.79,,
TOI-1231 b,1,1,0,24.24554135,0.1288,3.764284,15.4,15.4,1.74,0.087,0.99135,225.91,89.73,0.55903352,3.30627915,3544,0.4706355,0.485,0.041,-1.48678,,27.6227,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),41.68,1,Low-Luminosity Small Planets
Kepler-20 e,2,6,0,6.09853672,0.063,0.82,1.92,1.92,7.5,0,174.3,927,87.646,0.00774,2.881,5489,0.925,0.929,0.02,-0.16451,6.6,282.563,Transit,2011,Kepler,41.17,2,Temperate Small Planets
Kepler-1535 b,1,1,0,138.9442,0.5125,2.26,,,,0,3.26,343,89.95,0.05331,10.456,6014,1.115,1.052,-0.46,0.16473,3.47,897.733,Transit,2016,Kepler,41.14,,
Kepler-993 b,1,1,0,22.08555894,0.1165,2.97,,,,0,1.94,301,89.95,0.335995,2.1619,3736,0.572546,0.571534,-0.2,-1.22868,3.89,324.423,Transit,2016,Kepler,41.1,,
Kepler-49 e,1,4,0,18.5961115,0.11195,1.545,1.03815,1.03815,0.046,0,4.48,359,89.95,0.07097,2.37,3970,0.571,0.545,-0.05,-0.98371,8.39,311.222,Transit,2014,Kepler,40.93,1,Low-Luminosity Small Planets
Kepler-1678 b,1,1,0,147.973027,0.5407,3.43,,,,0,3.05,337,89.95,0.13929,7.011,5881,0.875,0.9955,-0.32,-0.16208,0.3,847.339,Transit,2020,Kepler,40.91,,
Kepler-68 c,2,4,0,9.60503867,0.09059,0.927,3.42,2.66952951,18.464907,0,189.3,946,88.51,0.0055,3.0045,5793,1.2475,1.064,0.12,0.23106,6.34,144.166,Transit,2013,Kepler,40.83,2,Temperate Small Planets
Kepler-406 c,1,2,0,4.62333557,0.05531,0.802,2.71,2.71,24.39,0,290.8,1053,88.81,0.00624,3.0364,5656,1.066,1.055,0.26,0.0482,5.055,364.03,Transit,2014,Kepler,40.62,2,Temperate Small Planets
Kepler-965 b,1,1,0,134.2524726,0.50354,2.872,,,,0,3.975,340,89.95,0.08478,9.105,5973,1.08918,1.0155,-0.0627,0.14794,5.5,582.828,Transit,2016,Kepler,40.58,,
KOI-3680 b,1,1,0,141.2416467,0.5319,10.868455,613.4119,613.4119,2.46,0,3.25,342,89.95,1.36298,6.7544,5811.5,0.976,1.007,0.08,0.06783,2.15,921.986,Transit,2018,Kepler,40.53,2,Temperate Small Planets
TOI-1224 c,1,2,0,17.94541525,,3.13395621,,,,0,1.9952,303.12,,0.54806849,3.0740072,3384,0.4042015,0.4,,-1.6968,0.21,37.3312,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),40.46,,
Kepler-1632 b,1,1,0,448.303558,1.0846,2.41,,,,0,2.54,232,89.95,0.04093,12.713,6070.5,1.238,0.844,-0.76,0.40631,3.09,716.76,Transit,2016,Kepler,40.36,,
Kepler-445 d,1,3,0,8.15275885,0.0439,2.44,,,,0,3.172,305,89.495,1.6536,1.746,3188,0.302802,0.277306,0.27,-2.01947,6.61,127.201,Transit,2015,Kepler,40.3,,
KOI-351 g,1,8,0,210.6021922,0.7133,7.718,134.632,22.70577859,0.272128,0,3.2,341,89.95,0.41967,11.95355,6055.565,1.2,1.12,-0.0185,0.26853,2.04,848.254,Transit,2013,Kepler,40.27,2,Temperate Small Planets
KOI-1831 d,1,4,0,34.20634254,0.199,1.13,1.745,1.745,5.94,0,11.98,474,89.95,0.02038,4.82805,5233,0.8305,0.901,0,-0.30825,2.095,501.574,Transit,2021,Kepler,40.19,2,Temperate Small Planets
Kepler-54 d,1,3,0,20.99587886,0.1175,1.38,12.0946,12.0946,9.2,0,2.76,329,89.95,0.081885,2.8099,3760,0.5115,0.49,-0.12,-1.29648,8.985,271.701,Transit,2014,Kepler,40.17,1,Low-Luminosity Small Planets
Ross 128 b,1,1,0,9.8658,0.0496,,,1.4,,0.116,1.38,301,,,,3192,0.1967,0.168,-0.02,-2.44129,5,3.37454,Radial Velocity,2017,La Silla Observatory,40.1,,
Kepler-1036 b,1,1,0,122.8808058,0.47823,2.885,,,,0,2.9155,336,88.81,0.07513,8.281,5476,0.87,0.95,0.04,-0.20151,1,489.435,Transit,2016,Kepler,40.08,,
Kepler-101 c,1,2,0,6.02979518,0.0675,1.085,3.78,3.78,10.5,0,406.1,1075,87.66,0.00555,3.91,5661,1.56,1.125,0.37385,0.42034,5.575,927.981,Transit,2014,Kepler,39.97,2,Temperate Small Planets
Kepler-1548 b,1,1,0,124.8285928,0.4786,2.31,,,,0,3.25,342,89.95,0.07442,6.334,5602,0.847,0.9625,-0.24,-0.30667,4.37,872.279,Transit,2016,Kepler,39.83,,
Kepler-1185 b,1,1,0,104.3518976,0.4425,1.44,,,,0,4.46,371,89.95,0.02372,3.586,5754,0.943,1.06,0.115,0.28187,1.55,459.273,Transit,2016,Kepler,39.65,,
Kepler-65 b,1,4,0,2.154909039,0.035171259,1.476,2.4,2.42728463,4.1218045,0,2129.875,1726,80.79,0.00997,3.1774,6169,1.4305,1.2395,0.14,0.4674,2.925,303.728,Transit,2012,Kepler,39.6,0,Warm Gas Giants
Kepler-1143 c,1,2,0,210.630591,0.605,3.21,,,,0,0.66,230,89.95,0.19651,8.675,4896,0.696667,0.78,-0.23,-0.62275,4.79,555.189,Transit,2016,Kepler,39.59,,
Kepler-367 c,1,2,0,53.57818738,0.2541,1.323,,,,0,3.6555,350,88.81,0.026555,5.447,4799.55,0.711043,0.772,0.07,-0.61671,2.29,188.027,Transit,2014,Kepler,39.35,,
Kepler-1333 b,1,1,0,109.6471842,0.4277,2.7,,,,0,3.16,340,89.95,0.09711,6.248,5558.43,0.890843,0.94,-0.1016,-0.18777,2.485,932.446,Transit,2016,Kepler,39.34,,
Kepler-100 d,1,4,0,35.3330866,0.2163,1.514,3,2.386542,2.695922,0,48.89,674,88.81,0.00938,5.904,5854,1.5,1.08,0.09,0.41123,6.69,304.645,Transit,2014,Kepler,39.23,2,Temperate Small Planets
Kepler-249 d,1,3,0,15.36843606,0.0921,1.225,,,,0,3.03,336,89.95,0.082665,2.4837,3587,0.456,0.44,0.02,-1.38396,8.495,190.401,Transit,2014,Kepler,39.1,,
Kepler-549 c,1,3,0,117.040498,0.4423,2.96,,,,0,3,336,88.81,0.08056,8.545,5346.5,0.8483755,0.859,-0.085,-0.30618,4.57,635.145,Transit,2016,Kepler,39.09,,
Kepler-174 c,1,3,0,44.0004287,0.20495,1.49,,,,0,3.38,346,89.95,0.063675,5.1685,4724,0.68,0.673,-0.48,-0.5704,2.45,384.757,Transit,2014,Kepler,39.06,,
Kepler-283 c,1,2,0,92.749023,0.35355,2.311,,,,0,1.7295,321,87.09,0.13463,7.29265,4250.5,0.631396,0.664,-0.37,-0.93115,8.545,468.094,Transit,2014,Kepler,38.72,,
Kepler-225 c,1,2,0,18.79419535,0.10714,1.84,,,,0,2.81,330,89.95,0.16776,3.26695,4128,0.6125,0.633,-0.11,-0.78825,8.34,561.101,Transit,2014,Kepler,38.55,,
Kepler-407 b,1,2,0,0.669309833,0.0152,1.163,3.2,2.43452555,5.876579,0,4260.119,2079,87.09,0.01324,1.6015,5487,1.05757,1.0075,0.34,-0.03934,4.6,338.368,Transit,2014,Kepler,38.49,0,Warm Gas Giants
Kepler-1488 c,1,2,0,6.15827512,0.0656,1.035,,,,0,355.39,1107,87.66,0.00573,6.285,5800,1.524,1.003,0,0.58748,5.75,905.825,Transit,2021,Kepler,38.28,,
Kepler-236 c,1,2,0,23.96799419,0.1325,1.85,,,,0,2.62,325,89.38,0.129515,3.8265,3754,0.524,0.5445,0.08,-1.13762,8.43,288.763,Transit,2014,Kepler,38.23,,
Kepler-1607 b,1,1,0,13.6473676,0.1075,1.09,,,,0,164.06,913,89.95,0.00633,7.769,5832.895,1.382,0.89,-0.3,0.70881,3.865,1286.1,Transit,2016,Kepler,38.15,,
Kepler-11 b,1,6,0,10.30400497,0.091,1.85,2.18,3.24,1.72,0,122.98,849,89.95,0.03087,4.2139,5715,1.0675,0.985,0.04,0.1202,7.2,646.346,Transit,2010,Kepler,38.14,2,Temperate Small Planets
Kepler-78 b,2,1,0,0.35500744,0.00901,1.2,1.86,1.86,5.33,0,4070,2236.5,79,0.0201,0.814,5089,0.74,0.82,-0.14,-0.49785,0.625,124.376,Transit,2013,Kepler,38.08,0,Warm Gas Giants
TOI-561 b,1,4,0,0.4465697,0.0106,1.425,2.13,2.13,4.45,0,4709,2310,87.1,0.0294,1.3185,5357,0.843,0.805,-0.4,-0.2778,10,85.799,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),37.98,0,Warm Gas Giants
Kepler-152 c,1,2,0,88.2553544,0.365,2.56,,,,0,2.82,335,89.95,0.11617,4.0488,5132,0.7605,0.84,-0.14,-0.46488,2,441.09,Transit,2014,Kepler,37.79,,
Kepler-59 b,1,2,0,11.8691507,0.1042,1.1,4.1,4.1,8.7,0,133.14,866,88.81,0.00988,4.556,6085,1.115,1.066,-0.26,0.32374,3.31,1163.22,Transit,2012,Kepler,37.79,2,Temperate Small Planets
Kepler-505 b,1,1,0,27.5219767,0.1444,2.51,,,,0,2.26,313,89.95,0.25008,4.0704,3820.5,0.5265,0.547,0.02,-1.07864,8.48,283.41,Transit,2016,Kepler,37.71,,
Kepler-482 b,1,1,0,56.35415446,0.2514,2.28,,,,0,3.27,333,89.95,0.10594,3.29,4715,0.72,0.7025,-0.22,-0.53864,6.8,313.068,Transit,2016,Kepler,37.65,,
Kepler-705 b,1,1,0,56.0560538,0.22705,2.035,,,,0,0.665,231,89.95,0.18099,4.595,3631,0.503,0.525,0.16,-1.31888,3.89,276.881,Transit,2016,Kepler,37.6,,
Kepler-1047 c,1,2,0,3.18897601,0.0422,0.98,,,,0,607.44,1219,89.38,0.00687,2.49,5700,1.176,0.98,0.2204,0.42359,5.94,817.647,Transit,2016,Kepler,37.56,,
Kepler-176 e,1,4,0,51.16579,0.2534,1.481,0.52075,0.52075,0.041,0,6.22,429,89.38,0.03047,4.715,5106,0.821202,0.84,0.07,-0.40427,3.565,527.321,Transit,2016,Kepler,37.55,2,Temperate Small Planets
Kepler-302 c,1,2,0,127.2824031,0.4913,10.99,,,,0,3.905,352,89.38,0.87843,7.1515,5756,1.06452,1.0205,0.06,0.04949,4.47,1402.58,Transit,2014,Kepler,37.52,,
Kepler-1705 b,1,2,0,9.0194714,0.08,1.07,4.47,4.47,2.977353,0,91.74,789,88.81,0.01916,5.92,6043.5,1.0135,0.9885,-0.52,0.373215,2.59,1633.49,Transit,2021,Kepler,37.44,2,Temperate Small Planets
Kepler-1468 c,1,3,0,3.54553021,0.0459,1.11,,,,0,515.05,1215,87.09,0.01184,4.17,5844.5,1.273,1.03,0.03,0.53118,3.55,1899.24,Transit,2016,Kepler,37.37,,
Kepler-1417 b,1,1,0,20.3505213,0.1431,1.005,,,,0,55.07,695,88.24,0.0095,7.316,5895.5,1.025,0.942,-0.24,0.39458,4.8,991.845,Transit,2016,Kepler,37.36,,
K2-229 b,1,2,0,0.58424,0.012994,1.164,2.54,2.54,8.45,0,,1889,83.9,0.01625,1.5,5231,0.79,0.847455,-0.06,,5.4,102.564,Transit,2018,K2,37.32,,
Kepler-1297 b,1,1,0,1.68189002,0.0275,0.98,,,,0,1890.2,1682,88.81,0.00883,3,5827,1.09,1.02,-0.36,0.30193,3.035,1439.47,Transit,2016,Kepler,37.29,,
Kepler-369 c,1,2,0,14.87153514,0.0907,1.365,,,,0,3.15,339,88.81,0.09887,2.582,3655,0.484,0.5075,-0.1,-1.28597,4.17,,Transit,2014,Kepler,37.27,,
Kepler-1508 b,1,1,0,20.7056504,0.138,1.155,,,,0,43.45,655,89.38,0.01145,9.029,5746,1.22,0.9685,-0.4,0.53713,2.69,1260.28,Transit,2016,Kepler,37.26,,
Kepler-1513 b,1,2,0,160.8846385,0.5416,8.842,48.30991786,48.30991786,1.304,0,3.39,346,89.95,0.77295,10.7536,5491,0.95,0.9465,0.15,-0.17001,3.98,349.247,Transit,2016,Kepler,37.26,2,Temperate Small Planets
Kepler-929 b,1,1,0,0.921032135,0.01745,1.115,,,,0,4764.74,1762,89.38,0.01096,2.5345,5818,1.296,1.01,-0.34,0.46075,3.47,1311.23,Transit,2016,Kepler,37.24,,
TOI-6002 b,1,1,0,10.90483012,0.05722,1.5994741,,,,0.15,1.75315,308.9,89.68,0.395038805,1.6050324,3250.5,0.2426605,0.2101,-0.18,-2.23508,6.35,32.0266,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),37.23,,
Kepler-1311 c,1,3,0,2.53573424,0.0366,1.135,,,,0,1584.435,1539,89.38,0.00724,3.941,5754,1.537,1.02,0.0462,0.47186,7.59,866.331,Transit,2016,Kepler,37.22,,
Kepler-107 b,1,4,0,3.180024635,0.0441,1.55,3.655,3.655,5.55,0,1073.75,1460,87.66,0.01211,3.5669,5851,1.439,1.142,0.27,0.36449,4.29,525.997,Transit,2014,Kepler,37.21,0,Warm Gas Giants
Kepler-1949 b,1,1,0,2.20829412,0.0334,0.95,,,,0,1108.75,1472,86.52,0.00909,2.799,6079.5,1.2215,1.0445,-0.05795,0.7131,,2617.35,Transit,2021,Kepler,37.2,,
Kepler-603 c,1,3,0,127.9075774,0.4971,6.65,,,,0,4.945,356,89.38,0.397855,13.498,5854,1.247,1.019,0.14,0.39156,4.27,1539.63,Transit,2016,Kepler,37.19,,
Kepler-1955 b,1,1,0,14.2652558,0.1176,0.99,,,,0,113.9,833,89.95,0.00656,3.572,5826,1.236,1.066,0.16,0.22965,4.37,449.351,Transit,2021,Kepler,37.13,,
Kepler-139 d,1,5,0,7.305699922,0.0748,1.95,2,3.329038115,5.270467,0,229.13,992,89.95,0.026745,1.41835,5616,1.143,1.044,0.35,0.01598,2.82,391.038,Transit,2023,Kepler,37.08,2,Temperate Small Planets
Kepler-107 d,1,4,0,7.95830216,0.082,1.07,5.75,5.75,50.05,0,315.94,1075,87.55,0.00583,4.3805,5851,1.4295,1.142,0.27,0.36449,4.29,525.997,Transit,2014,Kepler,37.05,2,Temperate Small Planets
Kepler-212 b,1,2,0,16.2583343,0.1317,0.94,,,,0,97.545,769,89.38,0.00597,6.955,5881.14,1.356,1.137,0.23,0.38347,5.13,687.194,Transit,2014,Kepler,37.03,,
Kepler-1328 b,1,1,0,4.52158888,0.0535,1.015,,,,0,418.48,1081,89.38,0.01067,3.4897,5713.775,1.1395,1,-0.094,0.2276,4.57,813.543,Transit,2016,Kepler,37,,
Kepler-1592 b,1,1,0,3.05710069,0.04,1.02,,,,0,504.87,1209,87.66,0.01494,3.523,6026,1.0545,0.922,-0.48,0.50716,2.69,1639.47,Transit,2016,Kepler,36.98,,
